Type	No	Word	Pron	Meaning	FileAudio
Vowels	1	ㅏ	a	Mở miệng phát âm rõ chữ a.	https://luandai123.github.io/Korean_Pronunciation/ㅏ.mp3
Vowels	1.1	아이	ai	Em bé	https://luandai123.github.io/Korean_Pronunciation/아이.mp3
Vowels	1.2	나라	nara	Đất nước	https://luandai123.github.io/Korean_Pronunciation/나라.mp3
Vowels	1.3	나무	namu	Cây	https://luandai123.github.io/Korean_Pronunciation/나무.mp3
Vowels	2	ㅓ	o	Tròn miệng, đọc o.	https://luandai123.github.io/Korean_Pronunciation/ㅓ.mp3
Vowels	2.1	어머니	eomeoni	Mẹ	https://luandai123.github.io/Korean_Pronunciation/어머니.mp3
Vowels	2.2	어디	eodi	Ở đâu	https://luandai123.github.io/Korean_Pronunciation/어디.mp3
Vowels	2.3	버스	beoseu	Xe buýt	https://luandai123.github.io/Korean_Pronunciation/버스.mp3
Vowels	3	ㅗ	ô	Tròn miệng, hạ giọng xuống, đọc ô.	https://luandai123.github.io/Korean_Pronunciation/ㅗ.mp3
Vowels	3.1	오이	oi	Dưa chuột	https://luandai123.github.io/Korean_Pronunciation/오이.mp3
Vowels	3.2	고기	gogi	Thịt	https://luandai123.github.io/Korean_Pronunciation/고기.mp3
Vowels	3.3	오늘	oneul	Hôm nay	https://luandai123.github.io/Korean_Pronunciation/오늘.mp3
Vowels	4	ㅜ	u	Tròn môi, đưa môi ra trước, đọc u.	https://luandai123.github.io/Korean_Pronunciation/ㅜ.mp3
Vowels	4.1	우유	uyu	Sữa	https://luandai123.github.io/Korean_Pronunciation/우유.mp3
Vowels	4.2	우리	uri	Chúng ta	https://luandai123.github.io/Korean_Pronunciation/우리.mp3
Vowels	4.3	우산	usan	Cái ô (dù)	https://luandai123.github.io/Korean_Pronunciation/우산.mp3
Vowels	5	ㅡ	ư	Mở miệng ngang phát âm ư.	https://luandai123.github.io/Korean_Pronunciation/ㅡ.mp3
Vowels	5.1	음식	eumsik	Thức ăn	https://luandai123.github.io/Korean_Pronunciation/음식.mp3
Vowels	5.2	은행	eunhaeng	Ngân hàng	https://luandai123.github.io/Korean_Pronunciation/은행.mp3
Vowels	5.3	이름	ireum	Tên	https://luandai123.github.io/Korean_Pronunciation/이름.mp3
Vowels	6	ㅣ	i	Mở miệng ngang phát âm i.	https://luandai123.github.io/Korean_Pronunciation/ㅣ.mp3
Vowels	6.1	이	i	Số hai / Cái răng	https://luandai123.github.io/Korean_Pronunciation/이.mp3
Vowels	6.2	아이스크림	aiseukeurim	Kem	https://luandai123.github.io/Korean_Pronunciation/아이스크림.mp3
Vowels	6.3	지도	jido	Bản đồ	https://luandai123.github.io/Korean_Pronunciation/지도.mp3
Vowels	7	ㅐ	ê	Phát âm là ê.	https://luandai123.github.io/Korean_Pronunciation/ㅐ.mp3
Vowels	7.1	새	sae	Con chim	https://luandai123.github.io/Korean_Pronunciation/새.mp3
Vowels	7.2	배	bae	Quả lê / Chiếc thuyền / Cái bụng	https://luandai123.github.io/Korean_Pronunciation/배.mp3
Vowels	7.3	노래	norae	Bài hát	https://luandai123.github.io/Korean_Pronunciation/노래.mp3
Vowels	8	ㅔ	ê	Phát âm là ê.	https://luandai123.github.io/Korean_Pronunciation/ㅔ.mp3
Vowels	8.1	가게	gage	Cửa hàng	https://luandai123.github.io/Korean_Pronunciation/가게.mp3
